Id tin,Tiêu đề tin,Địa điểm tuyển dụng,Tỉnh thành tuyển dụng,Chức vụ,Mức lương,Hình thức làm việc,Ngành nghề,Lĩnh vực,Kinh nghiệm
780721,Thực tập sinh thiết kế đồ họa,"62 Yên Phụ, Ba Đình, Hà Nội",Hà Nội,Thực tập sinh,1 - 3 triệu,Toàn thời gian cố định,Thiết kế - Mỹ thuật,thiết kế đồ họa,Không yêu cầu
780720,Nhân Viên Bán Hàng Tại Hà Nội,31A Nguyễn Quốc Trị Trung Hòa Cầu Giấy Hà Nội,Hà Nội,Nhân viên,5 - 7 triệu,Toàn thời gian cố định,"Việc làm bán hàng, Tư vấn, Hành chính - Văn phòng",nhân viên bán hàng thời trang,0 - 1 năm kinh nghiệm
780719,[TPHCM] Tuyển dụng vị trí Quản lý tiềm năng,Lầu 5 - 407 Tô Hiến Thành Quận 10,Hồ Chí Minh,Nhân viên,15 - 20 triệu,Toàn thời gian cố định,"Bảo hiểm, Quản lý điều hành, Quản trị kinh doanh",bảo hiểm phi nhân thọ,0 - 1 năm kinh nghiệm
780718,☘️ NHÂN VIÊN KINH DOANH BÁN BUÔN DỰ ÁN,số 35 lô D6 KĐT Gelexinco đường Lê Trọng Tấn Hà Đông Hà Nội,Hà Nội,Nhân viên,10 - 15 triệu,Toàn thời gian cố định,"Quản trị kinh doanh, Nhân viên kinh doanh, Hành chính - Văn phòng",nhân viên kinh doanh sự kiện,1 - 2 năm kinh nghiệm
780717,Việc làm thêm 2-3 ngày lương7-9tr tháng uy tín được ký hợp đồng và gắn kết lâu dài với công,Thành Phố Thủ Dầu Một Bình Dương,Bình Dương,Nhân viên,7 - 10 triệu,Bán thời gian,"Sinh viên làm thêm, Đầu bếp - phụ bếp, Thủy sản",bếp trưởng bếp ăn công nghiệp,Không yêu cầu
780716,Nhân viên Thiết kế,"tầng 3, 110 Lạc Long Quân, Tây Hồ, Hà Nội",Hà Nội,Nhân viên,7 - 10 triệu,Toàn thời gian cố định,Thiết kế - Mỹ thuật,nhân viên thiết kế,0 - 1 năm kinh nghiệm
780715,Nhân viên PR truyền thông,102 Trần Phú Hà Đông Hà Nội,Hà Nội,Nhân viên,10 - 15 triệu,Toàn thời gian cố định,"Báo chí - Truyền hình, Marketing - PR",nhân viên viết bài pr,2 - 5 năm kinh nghiệm
780714,Chuyên viên Hỗ trợ kỹ thuật,"Số 703 Lê Hồng Phong, P12, Q10, Hồ Chí Minh",Hồ Chí Minh,Nhân viên,10 - 15 triệu,Toàn thời gian cố định,"Kỹ thuật, Hành chính - Văn phòng",nhân viên viết bài pr,Không yêu cầu
780713,.NET Developer,Tòa nhà Cowa số 1 Ngõ 199 Hồ Tùng Mậu,Hà Nội,Nhân viên,15 - 20 triệu,Toàn thời gian cố định,IT phần mềm,lập trình viên asp.net,1 - 2 năm kinh nghiệm
780712,Sale BĐS Thổ Cư,Tầng 3 Tòa GP Invest Building 170 Đê La Thành Đống Đa Hà Nội,Hà Nội,Nhân viên,Trên 50 triệu,Toàn thời gian cố định,KD bất động sản,nhân viên marketing bds,Không yêu cầu
780711,Kiến Trúc Sư 3D,"Số 1, Nghĩa Tân",Hà Nội,Nhân viên,7 - 10 triệu,Toàn thời gian cố định,Kiến trúc - Tk nội thất,thiết kế nội thất không cần kinh nghiệm,1 - 2 năm kinh nghiệm
780710,Nhân viên văn phòng,280A4 Lương Định Của An phú Quận 2,Hồ Chí Minh,Nhân viên,7 - 10 triệu,Toàn thời gian cố định,"Tư vấn, Hành chính - Văn phòng, Nhân viên kinh doanh",chuyên viên tư vấn khách hàng,Không yêu cầu
780709,Nhân viên hành chính nhân sự,tại tòa nhà Sông Hồng – ngõ 165 Thái Hà,Hà Nội,Nhân viên,7 - 10 triệu,Toàn thời gian cố định,"Nhân sự, Hành chính - Văn phòng",nhân viên hành chính nhân sự,2 - 5 năm kinh nghiệm
780708,Tập đoàn đa quốc gia Chubb tuyển dụng 3 Đại Diện Kinh Doanh,"Công ty Chubb Life, Tầng S, Toà The Artemis, Số 3 Lê Trọng Tấn, Thanh Xuân, Hà Nội.",Hà Nội,Nhân viên,7 - 10 triệu,Toàn thời gian cố định,"Bảo hiểm, Việc làm bán hàng",nhân viên kinh doanh bảo hiểm,Không yêu cầu
780707,Nhân viên văn phòng,14/12 Thân Nhân Trung Phường 13 Tân Bình,Hồ Chí Minh,Mới Tốt Nghiệp,10 - 15 triệu,Toàn thời gian cố định,"KD bất động sản, Xây dựng",nhân viên kinh doanh nhà phố,Không yêu cầu
780706,NHÂN VIÊN KẾ TOÁN TỔNG HỢP - KIÊM KẾ TOÁN TRƯỞNG,"20 Nguyễn Cơ Thạch, P. An Lợi Đông",Hồ Chí Minh,Trưởng nhóm,15 - 20 triệu,Toàn thời gian cố định,"Kế toán - Kiểm toán, Kiến trúc - Tk nội thất, Xây dựng",kế toán tổng hợp,2 - 5 năm kinh nghiệm
780705,Chuyên viên C B (Lương 3P),"Số 10 ngõ Huế, phường Ngô Thì Nhậm, quận Hai Bà Trưng, Hà Nội",Hà Nội,Nhân viên,10 - 15 triệu,Toàn thời gian cố định,"Hành chính - Văn phòng, Nhân sự",chuyên viên c&b,2 - 5 năm kinh nghiệm
780704,Trưởng team Kinh doanh tại Đà Nẵng,"Ngã tư Nam Trân, Nguyễn Tường Phổ, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",Đà Nẵng,Trưởng nhóm,10 - 15 triệu,Toàn thời gian cố định,Nhân viên kinh doanh,nhân viên kinh doanh b2b,0 - 1 năm kinh nghiệm
780703,Nhân viên bán hàng,12 Trần Xuân Hòa Phường 7 Quận 5 TPHCM,Hồ Chí Minh,Nhân viên,5 - 7 triệu,Hợp đồng,Nhân viên kinh doanh,nhân viên kinh doanh thực phẩm,Không yêu cầu
780702,Cán bộ pháp lý địa bàn kv Kon Tum,12 Thành Phố Kon Tum,Kon Tum,Nhân viên,20 - 30 triệu,Toàn thời gian cố định,"Luật - Pháp lý, Ngành nghề khác, Tài chính",pháp chế không yêu cầu kinh nghiệm,Không yêu cầu
780701,Đại Diện Tiêu Thụ (Sales Representative)- Khu vực Hải Phòng: Lê Chân Hải An Ngô Quyền,"Tầng 15 Tòa nhà Peakview, Số 36 Hoàng Cầu, Đống Đa, Hà Nội",Hải Phòng,Nhân viên,10 - 15 triệu,Toàn thời gian cố định,"Nhân viên kinh doanh, Việc làm bán hàng",Nhân Viên Kinh Doanh Hàng Tiêu Dùng,1 - 2 năm kinh nghiệm
780700,NHÂN VIÊN KINH DOANH BẤT ĐỘNG SẢN ĐẤT NỀN,"Tầng 3 tòa nhà Time Tower, 35 Lê Văn Lương ,Thanh Xuân, Hà Nội",Hà Nội,Nhân viên,7 - 10 triệu,Toàn thời gian cố định,"Tư vấn, KD bất động sản, Nhân viên kinh doanh",chuyên viên kinh doanh bất động sản,Không yêu cầu
780699,Thư Ký Giám Đốc,25/2 Đường 43 P Thảo Điền Quận 2,Hồ Chí Minh,Nhân viên,10 - 15 triệu,Toàn thời gian cố định,"Biên - Phiên dịch, Hành chính - Văn phòng, Thư ký - Trợ lý",trợ lý cá nhân,1 - 2 năm kinh nghiệm
780698,THỰC TẬP SINH KÊNH THƯƠNG MẠI ĐIỆN TỬ - PARTTIME,1768/10/14 Tỉnh lộ 10 Tân Tạo Bình Tân,Hồ Chí Minh,Thực tập sinh,3 - 5 triệu,Bán thời gian,"Quản trị kinh doanh, Thương mại điện tử, Sinh viên mới tốt nghiệp - Thực tập",Thực tập sinh Thương mại điện tử,Không yêu cầu
780697,Tuyển Nhân viên Tư Vấn thu nhập 20 (Không yêu cầu kinh nghiệm),ĐỊA ĐIỂM LÀM VIỆC : 47 - 49 Trương Định - Quận 3 - Toàn nhà Everland,Hồ Chí Minh,Nhân viên,15 - 20 triệu,Toàn thời gian cố định,"Tư vấn, Du lịch, Việc làm bán hàng",Thực tập sinh Thương mại điện tử,Không yêu cầu
780696,Nhân viên tư vấn,Số 4 đường số 9 khu dân cư Cityland Phường 10 Gò Vấp,Hồ Chí Minh,Nhân viên,10 - 15 triệu,Toàn thời gian cố định,Chăm sóc khách hàng,nhân viên hỗ trợ khách hàng,1 - 2 năm kinh nghiệm
