product_id,title,authors,category,pages,manufacturer
45902241,Tìm Mình Trong Thế Giới Hậu Tuổi Thơ,Đặng Hoàng Giang,Sách Tâm Lý Tuổi Teen,404,Nhà Xuất Bản Hội Nhà Văn
85763211,Hãy Khiến Tương Lai Biết Ơn Vì Hiện Tại Bạn Đã Cố Gắng Hết Mình (Tặng Kèm: 01 Bookmark),Bạch Tô,Sách tư duy - Kỹ năng sống,320,Nhà Xuất Bản Văn Học
54748899,Muôn Kiếp Nhân Sinh (Many Lives - Many Times),Nguyên Phong,Muôn Kiếp Nhân Sinh (Many Lives - Many Times),408,Nhà Xuất Bản Tổng hợp TP.HCM
203954152,Blue Period - Tập 06,Yamaguchi Tsubasa,Blue Period - Tập 06,192,NXB Trẻ
201877500,"Wyckoff 2.0: Tìm hiểu chuyên sâu về cấu trúc, hồ sơ khối lượng và dòng chảy lệnh trên thị trường",Rubén Villahermosa Chaves,"Sách tài chính, tiền tệ",348,Nhà Xuất Bản Thế Giới
140416370,Dòng Chảy,Mihaly Csikszentmihalyi,Sách nghệ thuật sống đẹp,556,Nhà Xuất Bản Dân Trí
195801690,"The Witcher - Thuật Sĩ, Điều Ước Cuối Cùng",Andrzej Sapkowski,Truyện Giả tưởng - Huyền Bí - Phiêu Lưu,352,Nhà Xuất Bản Hội Nhà Văn
206576737,Dragon Quest - Dấu Ấn Roto (Dragon Quest Saga Emblem Of Roto) Perfect Edition Tập 12 [Tặng Kèm Bookmark PVC],Kamui Fujiwara,Dragon Quest - Dấu Ấn Roto (Dragon Quest Saga Emblem Of Roto) Perfect Edition Tập 12 [Tặng Kèm Bookmark PVC],280,Nhà Xuất Bản Kim Đồng
73125816,Digital Marketing - Từ Chiến Lược Đến Thực Thi (Tái Bản 2020),.,Sách Marketing - Bán hàng,250,Nhà Xuất Bản Lao Động
201355034,Mỗi Một Người Đều Cần Nhiều Trạm Dừng,Linh – Minh Mẫn,Truyện ngắn - Tản văn - Tạp Văn,216,Nhà Xuất Bản Văn Học
207398348,Kingdom - Tập 39,Yasuhisa Hara,Kingdom - Tập 39,216,NXB Trẻ
206308038,Lịch Nhã Nam - Những chú mèo văn chương -  Happy New Year Quý Mão 2023,Tùng Nâm,Tác phẩm kinh điển,13,Nhà Xuất Bản Thế Giới
173748415,Tâm Lý Học Mối Quan Hệ,Choi Kwanghyun,Sách tư duy - Kỹ năng sống,280,Nhà Xuất Bản Thanh Niên
52329861,Con Đường Hồi Giáo (Tái Bản 2020),Nguyễn Phương Mai,Sách Địa Danh - Du Lịch,304,Nhà Xuất Bản Hội Nhà Văn
187338036,Chiến Tranh Tiền Tệ - Tập 4,Song Hong Bing,"Sách tài chính, tiền tệ",608,Nhà Xuất Bản Lao Động
111580006,Muôn Kiếp Nhân Sinh 2 (Khổ Nhỏ),Nguyên Phong,Muôn Kiếp Nhân Sinh 2 (Khổ Nhỏ),672,Nhà Xuất Bản Tổng hợp TP.HCM
35191892,21 Bài Học Cho Thế Kỷ 21,Yuval Noah Harari,Tiểu Thuyết,434,Nhà Xuất Bản Thế Giới
157240665,Ra Bờ Suối Ngắm Hoa Kèn Hồng (Truyện Dài-Nguyễn Nhật Ánh),Nguyễn Nhật Ánh,Truyện dài,336,NXB Trẻ
202450677,Chú Thuật Hồi Chiến Tập 8,Gege Akutami,Chú Thuật Hồi Chiến Tập 8,192,Nhà Xuất Bản Kim Đồng
76388962,"Chúng Ta Rồi Sẽ Hạnh Phúc, Theo Những Cách Khác Nhau [Tặng Kèm: 01 Bookmark]",Thảo Thảo,Truyện ngắn - Tản văn - Tạp Văn,208,Nhà Xuất Bản Văn Học
90622579,Tâm Lý Học - Nghệ Thuật Giải Mã Hành Vi,Trần Lộ,Sách tư duy - Kỹ năng sống,448,Nhà Xuất Bản Thanh Niên
8848897,Trí Tuệ Do Thái (Tái Bản 2018),Eran Katz,Sách tư duy - Kỹ năng sống,444,Nhà Xuất Bản Lao Động Xã Hội
72882553,Kỷ Luật Tự Giác (Tặng Kèm Bookmark ),Tiểu Dã,Sách tư duy - Kỹ năng sống,216,Nhà Xuất Bản Thế Giới
81323246,90-20-30 90 Bài Học Vỡ Lòng Về Ý Tưởng Và Câu Chữ (Bản Đen Trắng),Huỳnh Vĩnh Sơn,Sách Marketing - Bán hàng,420,Nhà Xuất Bản Dân Trí
52329765,Biên Niên Ký Chim Vặn Dây Cót (Tái Bản 2020),Haruki Murakami,Tiểu Thuyết,720,Nhà Xuất Bản Hội Nhà Văn
52785564,Dịch Hạch (Nobel Văn Chương 1957),Albert Camus,Tác phẩm kinh điển,392,Nhà Xuất Bản Dân Trí
13419678,Đi Tìm Lẽ Sống ( Tái Bản ),Viktor Emil Frankl,Sách tư duy - Kỹ năng sống,224,Nhà Xuất Bản Tổng hợp TP.HCM
185067342,Tô Bình Yên Vẽ Hạnh Phúc (Tái Bản),Kulzsc,Sách Tô Màu Dành Cho Người Lớn,96,Nhà Xuất Bản Phụ Nữ
205336471,Dr.Slump Ultimate Edition - Tập 13,Akira Toriyama,Dr.Slump Ultimate Edition - Tập 13,232,Nhà Xuất Bản Kim Đồng
59262880,Người Bán Hàng Vĩ Đại Nhất Thế Giới (Tái Bản 2020),Og Mandino,Bài học kinh doanh,296,Nhà Xuất Bản Tổng hợp TP.HCM
201226690,Đô Thị Linh Dị,Nguyễn Ngọc Thạch,Truyện kinh dị,288,Nhà Xuất Bản Hội Nhà Văn
204635033,Thám Tử Lừng Danh Conan - Tập 100 - Bìa Gập,Gosho Aoyama,Thám Tử Lừng Danh Conan - Tập 100 - Bìa Gập,188,Nhà Xuất Bản Kim Đồng
168234714,Cư Xử Như Đàn Bà Suy Nghĩ Như Đàn Ông,Steve Harvey,Sách tư duy - Kỹ năng sống,324,Nhà Xuất Bản Hà Nội
113540576,Hảo Nữ Trung Hoa,Hân Nhiên,Truyện dài,356,Nhà Xuất Bản Hà Nội
50685547,Bản Đồ,Aleksandra Mizielińska,Kiến thức - Bách khoa,108,Nhà Xuất Bản Lao Động
108715084,"Rio Book No.1 - Xấu Thế Nào, Đẹp Ra Sao - Bí Kíp Thẩm Định Thiết Kế Trong Marketing (Tái Bản Lần 6)",Rio Creative,Sách Marketing - Bán hàng,200,Nhà Xuất Bản Lao Động
141333746,"Chúng Ta Học Thế Nào - How We Learn (Sự Thật Khó Tin Về Việc Học Nó Diễn Ra Khi Nào, Ở Đâu , Và Tại Sao)",Benedict Carey,Sách giáo dục,404,Nhà Xuất Bản Thế Giới
110448022,Ba Phút Sơ Cứu,BS Ngô Đức Hùng,Ba Phút Sơ Cứu,204,Nhà Xuất Bản Thế Giới
207255710,Sword Art Online 023,Reki Kawahara,Light novel,348,Nhà Xuất Bản Hà Nội
74362508,Thần Số Học Ứng Dụng,Joy Woodward,Sách Chiêm Tinh - Horoscope,280,Nhà Xuất Bản Thanh Niên
182972780,Kim Các Tự,Mishima Yukio,Tác phẩm kinh điển,352,Nhà Xuất Bản Dân Trí
205942269,Cánh Cổng Sát Nhân,Higashino Keigo,Truyện trinh thám,526,Nhà Xuất Bản Hà Nội
193450577,Bố Già - Bìa Mềm (Tái Bản 2022),Mario Puzo,Tác phẩm kinh điển,644,Nhà Xuất Bản Văn Học
2245453,Đúng Việc (Tái Bản),Giản Tư Trung,Sách nghệ thuật sống đẹp,328,Nhà Xuất Bản Tổng hợp TP.HCM
207398345,Kỳ Án Siêu Nhiên - Tập 03,Kyo Shirodaira,Kỳ Án Siêu Nhiên - Tập 03,200,NXB Trẻ
66619715,Vị Tu Sĩ Bán Chiếc Ferrari (Tái Bản),Robin Sharma,Sách tư duy - Kỹ năng sống,272,Nhà Xuất Bản Tổng hợp TP.HCM
96357336,Cáo Pax,Sara Pennypacker,Tiểu Thuyết,272,Nhà Xuất Bản Hội Nhà Văn
195649312,Trí Tuệ Do Thái  (Tái Bản 2022),Eran Katz,Sách Luyện Thi Đại Học - Cao Đẳng,444,Nhà Xuất Bản Công Thương
